,song,artist,genre,actual_lyrics
74,Lucid Dreams,Juice WRLD,Rap,"['You found another one but I am the better one', ""I won't let you forget me"", 'You found another one but I am the better one', ""I won't let you forget me"", ""Now I'm just better off dead Uh uh uh"", 'You were made outta plastic fake', 'I was tangled up in your drastic ways']"
75,Hallelujah,Leonard Cohen,Rock,"[""Now I've heard there was a secret chord"", 'That David played and it pleased the Lord', ""But you don't really care for music do ya"", 'It goes like this the fourth the fifth', 'The minor fall the major lift', 'The baffled king composing Hallelujah', 'Hallelujah Hallelujah', 'Hallelujah Hallelujah', 'Your faith was strong but you needed proof', 'You saw her bathing on the roof', 'Her beauty and the moonlight overthrew ya', 'She tied you to a kitchen chair', 'She broke your throne', ' and she cut your hair', 'And from your lips she drew the Hallelujah', 'Hallelujah Hallelujah', 'Hallelujah Hallelujah', 'You say I took the name in vain', ""I don't even know the name"", ""But if I did well really what's it to ya"", ""There's a blaze of light in every word"", ""It doesn't matter which you heard"", 'The holy or the broken Hallelujah']"
76,Back To Back,Drake,Hip-Hop,"['Oh man', 'Oh man oh man', 'Not again', 'Yeah', 'I learned the game from William Wesley you can never check me', ""Back to back for the niggas that didn't get the message"", ""Back to back like I'm on the cover of Lethal Weapon"", ""Back to back like I'm Jordan '96 '97"", 'Woahvery important and very pretentious', 'When I look back I might be mad that I gave this attention', ""Yeah but it's weighin' heavy on my conscience"", 'Yeah and fuck you left The Boy no options', 'I wanna see my niggas go insane', ""You gon' make me step out of my fuckin' frame"", ""You gon' make me buy bottles for Charlamagne"", ""You gon' make me go out of my fuckin' way"", ""I waited four days nigga where y'all at"", ""I drove here in the Wraith playin' ARAB"", ""I'm not sure what it was that really made y'all mad"", ""But I guess this is what I gotta do to make y'all rap"", ""I mean woah can't fool the city man they know what's up"", ""Second floor at Tootsies gettin' shoulder rubs"", ""This for y'all that think that I don't write enough"", ""They just mad 'cause I got the Midas touch"", 'You love her then you gotta give the world to her', ""Is that a world tour or your girl's tour"", 'I know that you gotta be a thug for her', ""This ain't what she meant when she told you to open up more"", 'Yeah trigger fingers turn to Twitter fingers', ""Yeah you gettin' bodied by a singin' nigga"", ""I'm not the type of nigga that'll type to niggas"", ""And shout to all my boss bitches wifin' niggas"", 'Make sure you hit him with the prenup', 'Then tell that man to ease up', 'I did another one I did another one', ""You still ain't did shit about the other one""]"
77,Father Stretch My Hands Pt. 1,Kanye West (Ft. Kid Cudi),R&B,"[""You're the only power Power"", ""You're the only power that can"", ""You're the only power Power"", ""You're the only power that can"", 'Oh oh oh Father', ""If Young Metro don't trust you I'm gon' shoot you"", 'Kid Cudi', ""Beautiful mornin' you're the sun in my mornin' babe Who can I turn to"", ""Nothin' unwanted After all who can I turn to"", ""Beautiful mornin' you're the sun in my mornin' babe If I don't turn to You"", ""Nothin' unwanted No other help I know I stretch my hands"", 'I just wanna feel liberated II nanana Who can I turn to', 'I just wanna feel liberated II nanana After all who can I turn to', ""If I ever instigated I am sorry If I don't turn to You"", 'Tell me who in here could relate III No other help I know I stretch my hands', 'Now if I fuck this model', 'And she just bleached her asshole', 'And I get bleach on my Tshirt', ""I'ma feel like an asshole"", 'I was high when I met her', 'We was down in Tribeca', ""She'll get under your skin if you let her"", ""She'll get under your skin if you Uh"", ""I don't even wanna talk about it"", ""I don't even wanna talk about it"", ""I don't even wanna say nothin"", ""Everybody gon' say somethin'I'd be worried if they said nothin"", 'Remind me where I know you from', ""She lookin' like she owe you somethin"", 'You know just what we want', 'I wanna wake up with you in my']"
78,Redbone,Childish Gambino,Soul,"['Daylight', ""I wake up feelin' like you won't play right"", ""I used to know but now that shit don't feel right"", 'It made me put away my pride', 'So long', 'You made a nigga wait for some so long', 'You make it hard for boy like that to go on', 'If you want it Yeah', 'You can have it Oh oh oh', 'If you need it Ooh', 'We can make it oh', 'If you want it', 'You can have it', 'But stay woke', ""Niggas creepin'They gon' find you"", ""Gon' catch you sleepin' ooh"", 'Now stay woke', ""Niggas creepin'Now don't you close your eyes""]"
79,Thrift Shop,Macklemore & Ryan Lewis (Ft. Wanz),Hip-Hop,"['Hey Macklemore can we go thrift shopping', 'Whatwhat what what', 'Whatwhat what what', 'Whatwhat what what', 'Whatwhat what what Da', 'Whatwhat what what Dadum badum badadoda', 'Whatwhat what what Dadum badum badadoda', 'Whatwhat what what Dadum badum badadoda', 'Whatwhat what what Dadum badum badadoda', 'Dadum badum badadoda', 'Dadum badum badadoda', 'Dadum badum badadoda', 'Dadum badum badadoda', 'Chorus Wanz  Macklemore', ""I'm gonna pop some tags"", 'Only got twenty dollars in my pocket', ""I'm I'm I'm huntin' lookin' for a come up"", 'This is fucking awesome', 'Walk into the club like What up I got a big cock', ""Nah I'm just pumped I bought some shit from a thrift shop"", 'Ice on the fringe is so damn frosty', ""Damn that's a coldass honkey"", ""Rollin' in hella deep headed to the mezzanine"", ""Dressed in all pink 'cept my gator shoes those are green"", ""Draped in a leopard mink girl standin' next to me"", ""Probably should've washed this smells like R. Kelly sheets"", 'Piss', 'But shit it was ninetynine cents Bag it', ""Coppin' it washin' it 'bout to go and get some compliments"", ""Passin' up on those moccasins someone else has been walkin' in"", ""Bummy and grungy fuck it man I am stunting and flossin'And saving my money and I'm hella happy that's a bargain bitch"", ""I'ma take your grandpa's style I'ma take your grandpa's style"", 'No for real ask your grandpa can I have his handmedowns Thank you', 'Velour jumpsuit and some house slippers', 'They had a broken keyboard I bought a broken keyboard', 'I bought a skeet blanket', 'then I bought a knee board', 'Hello hello my ace man my mellow', ""John Wayne ain't got nothing on my fringe game hell no"", ""I could take some Pro Wings make 'em cool sell those"", 'The sneaker heads would be like Ah he got the Velcros']"
80,It’s Everyday Bro,Jake Paul (Ft. Team 10),Rap,"['Team 10Los Angeles Cali boy', ""But I'm from Ohio though white boy"", ""It's everyday bro with the Disney Channel flow"", ""Five mil' on You"", 'Tube in six months never done before', 'Passed all the competition man Pew', 'Die', 'Pie is next', ""Man I'm poppin' all these checks got the brand new Rolex"", ""This is Team 10 bitch who the hell are flippin' you"", ""And you know I kick them out if they ain't with the crew"", ""Yeah I'm talking about you you beggin' for attention"", 'Talking shit on Twitter too but you still hit my phone last night', 'It was 452 and I got the text to prove', ""And all the recordings too don't make me tell them the truth"", ""And I just dropped some new merch and it's selling like a god church"", 'We shooting with a gun the tattoo just for fun', 'I Usain Bolt and run catch me at game one']"
81,The Monster,Eminem (Ft. Rihanna),Hip-Hop,"[""I'm friends with the monster"", ""That's under my bed"", 'Get along with the voices', 'Inside of my head', ""You're tryin' to save me"", ""Stop holdin' your breath"", ""And you think I'm crazy"", ""Yeah you think I'm crazy"", 'I wanted the fame but not the cover of Newsweek', ""Oh well guess beggars can't be choosey"", 'Wanted to receive attention for my music', 'Wanted to be left alone in public excuse me', ""For wantin' my cake and eat it too and wantin' it both ways"", ""Fame made me a balloon 'cause my ego inflated"", 'When I blew see', 'but it was confusing', ""Cause all I wanted to do's be the Bruce Lee of loose leaf"", 'Abused ink used it as a tool when I blew steam', 'Woo Hit the lottery oohwee', 'But with what I gave up to get it was bittersweet', ""It was like winnin' a used mink"", ""Ironic 'cause I think I'm gettin' so huge I need a shrink"", ""I'm beginnin' to lose sleep one sheep two sheep"", ""Goin' coocoo and kooky as Kool Keith"", ""But I'm actually weirder than you think 'cause I'm""]"
82,King Kunta,Kendrick Lamar,Rap,"['Produced by Sounwave Additional production by Terrace Martin', 'I got a bone to pick', ""I don't want you monkeymouth motherfuckers"", ""Sittin' in my throne again"", ""Ayy ayy nigga what's happenin'KDot back in the hood nigga"", ""I'm mad He mad but I ain't stressin'True friends one question"", ""Bitch where you when I was walkin'Now I run the game got the whole world talkin'King Kunta everybody wanna cut the legs off him"", 'Kunta black man taking no losses oh yeah', ""Bitch where you when I was walkin'Now I run the game got the whole world talkin'King Kunta everybody wanna cut the legs off him"", 'When you got the yams', ""What's the yams"", 'The yam is the power that be', ""You can smell it when I'm walkin' down the street"", 'Oh yes we can oh yes we can', ""I can dig rappin' but a rapper with a ghostwriter"", 'What the fuck happened Oh no', ""I swore I wouldn't tell but most of y'all sharing bars"", 'Like you got the bottom bunk in a twoman cell A twoman cell', ""Something's in the water Something's in the water"", 'And if I gotta brownnose for some gold', ""Then I'd rather be a bum than a motherfuckin' baller Oh yeah""]"
83,Don’t,Bryson Tiller,R&B,"[""Don't don't play with her don't be dishonest Ayy"", ""Still not understandin' this logic Ayy"", ""I'm back and I'm better And I'm better"", 'I want you bad as ever', ""Don't let me just let up"", 'I wanna give you better', ""Baby it's whatever"", 'Somebody gotta step up', ""Girl I'm that somebody so I'm next up"", 'Be damned if I let him catch up', ""It's easy to see that you're fed up"", ""I am on a whole 'nother level"", ""Girl he only fucked you over 'cause you let him"", ""Fuck him girl I guess he didn't know any better"", ""Girl that man didn't show any effort"", ""Do all I can just to show you you're special"", ""Certain it's your love that holds me together"", ""Lately you say he been killin' the vibe"", 'Gotta be sick of this guy', 'Pull up skrr get in the ride', ""Left hand is steerin' the other is grippin' your thigh"", 'Light up a spliff and get high', ""Shawty you deserve what you've been missin'Lookin' at you I'm thinkin' he must be trippin'Play this song for him tell him Just listen""]"
84,Black Beatles,Rae Sremmurd (Ft. Gucci Mane),R&B,"['Black Beatles in the city', 'Be back immediately to confiscate the moneys', 'Ear Drummers', 'Rae Sremm Guwop Mike Wi', 'LL', ""I sent flowers but you said you didn't receive 'em"", ""But you said you didn't need them Mike Wi"", 'LL Made', 'It', 'That girl is a real crowd pleaser Oh yeah', 'Small world all her friends know of me They know me', ""Young bull livin' like an old geezer Ah"", 'Quickrelease the cash watch it fall slowly Slowly', 'They lose it when the DJ drops the needle And they lose it', ""Getting so gone I'm not blinkin"", 'New day new money to be made', ""There is nothin' to explain"", ""I'm a fuckin' black Beatle cream seats in the Regal"", ""Rockin' John Lennon lenses like to see em spread eagle"", 'Like clockwork I blow it all', 'And get some more', 'Get you somebody that can do both', 'Black Beatles got the babes belly rollin', 'She think she love me I think she trollin']"
